""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"
"Nfam1"	0.20242419064759	4.16744409311778	2.44046811962631	0.0240073794741108	0.248575780152282	-3.34435584959591	"NO"
"Gpihbp1"	-0.156693679838286	6.7893213666448	-2.43971745552317	0.0240456525258862	0.248575780152282	-3.54578506158873	"NO"
"Sfxn2"	-0.137396778505733	4.416666476464	-2.43953948845155	0.0240547346163724	0.248575780152282	-3.37573460128795	"NO"
"Mrc1"	0.189606288274059	5.83040078539556	2.43926419366951	0.0240687898727142	0.248575780152282	-3.52482139618347	"NO"
"Klf2"	-0.326228347440649	7.13472855788318	-2.43901512440415	0.0240815127712816	0.248575780152282	-3.54486694515059	"NO"
"Pcx"	-0.151424348975202	6.30586827762959	-2.43865505425291	0.0240999168705459	0.248575780152282	-3.54472331834716	"NO"
"Kcnk2"	-0.240678131515438	5.38532213202832	-2.43734455871798	0.024167010333699	0.248575780152282	-3.49502831954787	"NO"
"Tomm40l"	0.135179184191287	5.17892215752552	2.43647281343445	0.0242117374369354	0.248575780152282	-3.47656860825804	"NO"
"Smc2"	0.191032533875003	3.5766289946179	2.43646724905293	0.0242120231791934	0.248575780152282	-3.2986195618015	"NO"
"Rnd1"	0.479818078196995	4.12951048304028	2.43632073626425	0.0242195480380963	0.248575780152282	-3.34631270371178	"NO"
"Zcchc3"	0.124768922489499	3.94366600028773	2.43601872938822	0.02423506590792	0.248575780152282	-3.32923518119439	"NO"
"Arrdc3"	-0.279561817736159	7.22719081593156	-2.43534060422581	0.0242699434329874	0.248575780152282	-3.55062604228342	"NO"
"Nrep"	0.281158443107643	6.63415541672636	2.43532008502806	0.0242709995106516	0.248575780152282	-3.55365416563926	"NO"
"Gabrp"	-0.197800610135684	6.9488785600344	-2.4348964712442	0.0242928115408382	0.248575780152282	-3.55432032288877	"NO"
"Hmgcs1"	0.139473457844738	6.98948076455012	2.4348475020866	0.024295334157951	0.248575780152282	-3.55427804279058	"NO"
"Zkscan3"	-0.201941428820422	6.49885595689301	-2.43320376990241	0.0243801517438439	0.249209145080871	-3.55703499236986	"NO"
"Cdk6"	0.13303550238084	5.95312969279731	2.43138440887849	0.0244743534164638	0.249937152823906	-3.54645585279572	"NO"
"Pex7"	0.106653551437716	4.76643430302787	2.43070982303403	0.0245093677386306	0.249969818612202	-3.43707647364108	"NO"
"Iqub"	-0.316977527710583	3.37189373456961	-2.43043743273943	0.0245235193507925	0.249969818612202	-3.29626871949178	"NO"
"Ak7"	-0.209602699050126	5.63971292998476	-2.42999489988092	0.0245465266775261	0.24997006006065	-3.52939445748622	"NO"
"1700020L24Rik"	-0.259930071273671	3.43414167873062	-2.42887370614779	0.0246049076504133	0.250330192334794	-3.3024042582983	"NO"
"9530068E07Rik"	0.084618433320137	7.64332521391963	2.42810141271695	0.0246451964245773	0.250505753564208	-3.55585138849708	"NO"
"Alas1"	-0.391873985136021	8.67391249418843	-2.42489710260401	0.0248130148709582	0.251747123272976	-3.5285841449383	"NO"
"Hsd11b1"	-0.152913904024861	7.80021382758942	-2.42488561107218	0.0248136186234489	0.251747123272976	-3.55815749075397	"NO"
"Hsd17b7"	0.233513882535672	3.98734368093252	2.42372715275786	0.0248745529712931	0.252130138038941	-3.35460475614832	"NO"
"Gm42428"	-0.499734652429703	3.77542616066943	-2.42258552660919	0.0249347381777118	0.252504853278206	-3.33637868219448	"NO"
"Ildr2"	0.398615579316466	3.75226593724089	2.4210871291973	0.025013937622861	0.253071242405802	-3.3374062052323	"NO"
"Cyb5r3"	0.130151703731636	8.22146769923101	2.41998079505742	0.0250725642849466	0.253428633051189	-3.55464532251669	"NO"
"Anxa6"	0.0909069760608396	8.23918622101756	2.41935547470439	0.0251057576778086	0.253528524144704	-3.55520785884982	"NO"
"Krit1"	-0.114345777289334	6.40912288830634	-2.41755412396099	0.0252016060395387	0.254056305487823	-3.58548360790793	"NO"
"Rab33b"	0.0979241164926759	5.2108548837252	2.41738311176934	0.025210723125636	0.254056305487823	-3.51523914767552	"NO"
"Bmpr1b"	-0.288519640432116	4.07664746218676	-2.41705733703906	0.0252280994783789	0.254056305487823	-3.37521996576848	"NO"
"Ccdc180"	-0.236025925583189	5.01620294621398	-2.41567026283144	0.0253022087811922	0.254088613430204	-3.49511136852056	"NO"
"Rabgef1"	-0.151511273329021	5.77851577289862	-2.41479818811797	0.0253489060509813	0.254088613430204	-3.56702786020547	"NO"
"Mtx2"	0.120014247203596	4.69062183604905	2.4146215214918	0.0253583758350767	0.254088613430204	-3.45604822086533	"NO"
"Arap3"	-0.122107772302058	8.16734923256334	-2.41424285249567	0.0253786845490682	0.254088613430204	-3.56709514636474	"NO"
"Ppp1r12c"	-0.127882548751033	7.07909950839455	-2.41408309654995	0.0253872570900463	0.254088613430204	-3.5921891990425	"NO"
"Unkl"	-0.113889363608424	5.30139939255302	-2.41363589344983	0.025411268434039	0.254088613430204	-3.53127611429699	"NO"
"Paqr8"	0.177184416057725	5.38888406250756	2.41339356519801	0.0254242884059508	0.254088613430204	-3.53976840248587	"NO"
"Gng11"	0.206371230290793	6.3199537011969	2.41313522857566	0.0254381753178949	0.254088613430204	-3.59215730734908	"NO"
"Bcl2l1"	-0.26435234398315	6.9986876920879	-2.41307212379442	0.0254415685937378	0.254088613430204	-3.59442600606434	"NO"
"Acin1"	-0.119992565604552	7.46167921219169	-2.41192284377258	0.0255034414647515	0.254472870982236	-3.58990308669713	"NO"
"Cdc42ep2"	0.136176436035342	4.67028204044688	2.4103761910747	0.0255869282257691	0.255022092785788	-3.46092592343285	"NO"
"Zfp182"	-0.169375011966615	3.99069420480629	-2.40991203425267	0.025612032471454	0.255022092785788	-3.37900443923478	"NO"
"Rgs22"	-0.33413212102841	4.13141621574727	-2.40935704473884	0.0256420795249376	0.255022092785788	-3.39440759429732	"NO"
"Klhl2"	-0.15098804931156	5.37217469608781	-2.40912652780458	0.0256545693086457	0.255022092785788	-3.54618530255782	"NO"
"Mrgbp"	-0.115804598089971	4.69408023958304	-2.40873629596501	0.0256757255976864	0.255022092785788	-3.46708297256955	"NO"
"Mageh1"	0.110495038851596	4.7651025569323	2.4045204350244	0.025905323390899	0.257034106595379	-3.4841141554992	"NO"
"Sema4c"	0.148906168311531	5.28274688544613	2.40393295571597	0.0259374688379067	0.257034106595379	-3.54697958877434	"NO"
"Erbb3"	-0.139492029877728	6.34202342580907	-2.40371881366346	0.025949195388169	0.257034106595379	-3.61009294148755	"NO"
"Rfng"	-0.0874602357630252	5.44141076358407	-2.40314691057241	0.0259805373037734	0.257086875255377	-3.56360028986638	"NO"
"Serpinb1a"	0.242255670134139	4.74837227442798	2.40275931364539	0.0260017987110072	0.257086875255377	-3.48428786130525	"NO"
"Rbm5"	-0.127841335569802	7.51744860031821	-2.40181629079863	0.0260535952216612	0.25736503327047	-3.60731524004601	"NO"
"D15Ertd621e"	0.105293934013713	6.78485356510686	2.3973096435335	0.0263024537600216	0.259486302012481	-3.62447331422041	"NO"
"Rab8b"	0.108082267763892	5.94294878836764	2.3970645161709	0.0263160528797138	0.259486302012481	-3.60947908496874	"NO"
"Kndc1"	-0.266371358954033	4.96213987243309	-2.39562017435552	0.0263963144207975	0.260041952573001	-3.52453605347191	"NO"
"Hk2"	-0.236178258314825	4.55054696183968	-2.3913624704392	0.0266342379973948	0.261700003404896	-3.47843249867105	"NO"
"Galnt10"	0.164251208475156	4.23482037210458	2.39055586133159	0.026679535598959	0.261700003404896	-3.43976380300073	"NO"
"Ccdc189"	-0.18779602255524	4.27061101034029	-2.39049911855452	0.0266827248538197	0.261700003404896	-3.44412525484904	"NO"
"Snapc4"	-0.150108727844234	4.58000762601117	-2.38881759710199	0.0267773963422517	0.261700003404896	-3.48730985738384	"NO"
"Ly6c2"	-0.232151324348594	4.04186962829102	-2.38870819351703	0.0267835666717583	0.261700003404896	-3.42084904629161	"NO"
"Slc7a6"	-0.168220125151767	4.50320052137081	-2.38862831291451	0.0267880727473197	0.261700003404896	-3.47732723860484	"NO"
"Tagap1"	-0.107893613573189	5.02100217094593	-2.38821339939822	0.0268114893949102	0.261700003404896	-3.54615075847835	"NO"
"Lpar6"	0.162883721004382	4.16508936770144	2.38791713317515	0.0268282215189142	0.261700003404896	-3.43613429245991	"NO"
"Cpeb2"	-0.134257443701032	4.52904220851887	-2.38771471358913	0.0268396590707149	0.261700003404896	-3.48252203084244	"NO"
"Sardh"	0.185919260171596	4.13807120004142	2.38744262746462	0.0268550402019393	0.261700003404896	-3.43379827891275	"NO"
"Zbtb48"	-0.184047528777893	3.9870005653767	-2.38683027535432	0.0268896866221541	0.261700003404896	-3.41843097459323	"NO"
"Nucks1"	0.113750232217969	6.46074678405372	2.38625752312907	0.0269221300464337	0.261700003404896	-3.64374868661839	"NO"
"Tmem229b"	0.217951442303364	4.58726080055774	2.38620051430591	0.0269253612854992	0.261700003404896	-3.49263240526137	"NO"
"Tfpi"	0.0922977499912143	5.5092032876507	2.38615530808949	0.0269279238129744	0.261700003404896	-3.60030447718947	"NO"
"Caskin2"	-0.181352379222876	7.41834536167005	-2.38559723836582	0.02695957680213	0.261700003404896	-3.63936057489354	"NO"
"Kctd7"	0.26934461354739	3.74358454232633	2.38558063366889	0.0269605191276026	0.261700003404896	-3.3974175560884	"NO"
"Arl5a"	0.111619788544876	7.0363374616948	2.38534884703432	0.0269736763347636	0.261700003404896	-3.64559814179883	"NO"
"Edc3"	-0.0923925255912676	5.88721620784807	-2.383895846365	0.0270562907235921	0.262066645891129	-3.63057994299089	"NO"
"Tyrobp"	0.206488258029733	5.42458926235503	2.38383670618636	0.0270596582691925	0.262066645891129	-3.59686878627865	"NO"
"Sox11"	0.256630380335399	5.06075368123401	2.38299849659914	0.0271074292231955	0.262295729743305	-3.55957020105309	"NO"
"Ppid"	-0.134558613991126	5.95508173046934	-2.38234779419863	0.0271445677572727	0.262421616824976	-3.63701661467879	"NO"
"Hdac10"	-0.145620530296905	4.761067977644	-2.38125343539191	0.0272071342247805	0.262792887947347	-3.52515555647937	"NO"
"Gm16185"	-0.359986105112545	3.5499263703656	-2.38000772233698	0.0272785166578655	0.263248577791434	-3.39137304468465	"NO"
"Rnf103"	-0.0873103444041776	5.56874182301325	-2.37885479542919	0.0273447369410338	0.263653687030748	-3.61845745157989	"NO"
"Col6a2"	0.157390060688395	7.84894665759856	2.3775557838717	0.0274195264209313	0.264140628302966	-3.64411393145169	"NO"
"Scnn1b"	-0.162120774258318	7.26842221313114	-2.37628502021711	0.0274928730347994	0.264561186111086	-3.65942970104352	"NO"
"Plau"	0.308891868001534	3.55584332767049	2.375794199366	0.0275212511597087	0.264561186111086	-3.39895807650701	"NO"
"Prex1"	0.205068244213074	5.70342577925945	2.37553654923456	0.0275361587603668	0.264561186111086	-3.63394503628624	"NO"
"Pik3ap1"	0.295417446847074	4.20043779477042	2.37458868041964	0.0275910667698628	0.264803206113418	-3.46304030448243	"NO"
"Lpcat1"	0.134508864454368	9.01466819997248	2.37426149034792	0.0276100437415057	0.264803206113418	-3.60775181809059	"NO"
"Elp3"	0.0760464832639345	5.72834424381732	2.37370748495485	0.0276422035542399	0.264878066833404	-3.63935258864625	"NO"
"Mafk"	-0.156214298738895	6.32905169540352	-2.37188356534163	0.027748326911103	0.265660918560877	-3.66848289568538	"NO"
"Notch1"	-0.163299994038987	7.02287092206174	-2.37135206774131	0.0277793226644962	0.265723758398471	-3.67136129475338	"NO"
"Cramp1l"	-0.117289844936615	5.55906023702659	-2.37054603545094	0.0278263898996282	0.265819645124612	-3.63276498112174	"NO"
"Wdr19"	-0.179047606308552	5.25081868135303	-2.37018157777346	0.0278476961967097	0.265819645124612	-3.60493378789392	"NO"
"Stat3"	-0.0849050769656774	7.73340038956779	-2.36992560144538	0.0278626696802186	0.265819645124612	-3.66099500162458	"NO"
"Foxo4"	-0.126855109310233	5.92949099304558	-2.36881927442807	0.027927470757136	0.266115630024229	-3.660541902593	"NO"
"Chad"	-0.197971951461517	5.54406636978682	-2.36856080029169	0.0279426305156003	0.266115630024229	-3.63485093602031	"NO"
"D230025D16Rik"	-0.110264133844248	6.76737825569095	-2.36779030294982	0.027987866181435	0.266313239360706	-3.67880103594076	"NO"
"Slc6a2"	-0.312671576086538	6.36351453269677	-2.36692246956538	0.0280388976540021	0.266565603920391	-3.67750846773726	"NO"
"Gga3"	-0.102541128895889	5.71609640924976	-2.36592965917377	0.028097383892928	0.266888338182956	-3.65269029602924	"NO"
"Cyld"	0.0964995693197146	5.83284814965267	2.3648605021967	0.0281604940531328	0.267113311268266	-3.66223029691658	"NO"
"Mapk3"	0.0919919446969271	8.34933303280162	2.36469646732889	0.0281701883067949	0.267113311268266	-3.65151421560134	"NO"
"Nrros"	0.157434927386154	4.89819035021931	2.36319505424068	0.0282590636545064	0.26772262744461	-3.57544820542024	"NO"
"Smad6"	-0.238217199069581	7.19399176161146	-2.36267144074375	0.0282901196996287	0.267783587339566	-3.68536805276474	"NO"
"Fam13a"	-0.323300977611188	6.06870166512903	-2.36225465651113	0.0283148621812485	0.267784731376747	-3.67784646153631	"NO"
"Calu"	0.0983142011512097	8.15182624354823	2.36154924629389	0.0283567846674164	0.267828010799699	-3.66425973253191	"NO"
"Agbl2"	-0.232118589731533	4.38899268403056	-2.36134910302488	0.028368689632333	0.267828010799699	-3.50999285495837	"NO"
"Hmgn2"	0.161164159235619	7.10698012910097	2.36063841475975	0.0284110003469902	0.267994830679848	-3.69031338722349	"NO"
"Upf3a"	-0.0937164209927968	5.02434916350105	-2.35799009392842	0.0285691827561316	0.26834590236992	-3.60105834392268	"NO"
"Spry1"	0.141124650001868	6.72174412131883	2.35778912077016	0.0285812199677598	0.26834590236992	-3.69707237383575	"NO"
"Smim15"	-0.109954203427175	6.25282081872635	-2.35736164496055	0.0286068390847946	0.26834590236992	-3.69370728206103	"NO"
"Hlcs"	0.155638982591258	4.18388916490683	2.35733918230512	0.0286081858852249	0.26834590236992	-3.49142277879868	"NO"
"Cuedc2"	0.08563995873316	5.62049324768322	2.35681457031993	0.028639656906084	0.26834590236992	-3.66248990550477	"NO"
"Nipsnap1"	0.196947509790927	3.51385648823978	2.35633247851854	0.0286686054283968	0.26834590236992	-3.42848276288203	"NO"
"Rpa1"	0.106112726534132	5.89303244311984	2.35631502083023	0.0286696542310372	0.26834590236992	-3.68133654826147	"NO"
"Trim23"	0.110816133667346	4.8412524991071	2.35599360881748	0.0286889699937868	0.26834590236992	-3.58105623900796	"NO"
"Camk2g"	0.0837049014647278	5.66586501346591	2.35523773310025	0.0287344430183342	0.26834590236992	-3.66869335799935	"NO"
"BC004004"	0.0885885830856372	5.8813863989598	2.3548594172496	0.0287572273094509	0.26834590236992	-3.68334737601846	"NO"
"Rgs19"	0.123284953511762	4.28161200496488	2.35442513486327	0.0287834028291348	0.26834590236992	-3.50862032930223	"NO"
"Ifnar1"	0.102084623322769	6.3526834354868	2.35425897605886	0.0287934235557963	0.26834590236992	-3.701220448709	"NO"
"Plekha6"	0.26737767183217	6.33034335524811	2.35397973611338	0.0288102712663995	0.26834590236992	-3.70087476916558	"NO"
"Abca8a"	-0.227852582840983	7.13867723914203	-2.35329305198532	0.0288517405898203	0.26834590236992	-3.70323408577276	"NO"
"Pcdh12"	0.302650589951618	5.28909432579907	2.35316183405805	0.0288596712129702	0.26834590236992	-3.63861008298778	"NO"
"Faim2"	-0.164329225296775	4.86938823227056	-2.35305744803319	0.0288659815949742	0.26834590236992	-3.58975890097182	"NO"
"2810474O19Rik"	-0.308413354360904	6.88522478524346	-2.35302963333852	0.0288676632744398	0.26834590236992	-3.70538623224238	"NO"
"Slc38a1"	-0.157253808988863	5.57414669285613	-2.35016572212271	0.0290413016289115	0.269542581101138	-3.67085052944048	"NO"
"Cmah"	0.234958653106911	5.82090756401024	2.35002540237342	0.0290498339661023	0.269542581101138	-3.68802587293605	"NO"
"Dhdh"	0.142679294832329	4.09807466831605	2.34853137673498	0.0291408241634222	0.269542581101138	-3.4965317624554	"NO"
"Zfp87"	-0.141712842756076	3.59715170346611	-2.34836910759049	0.0291507226472443	0.269542581101138	-3.44807640874595	"NO"
"Gng12"	0.0863710065894763	6.7968542065535	2.34815311009169	0.029163903407415	0.269542581101138	-3.71470850334997	"NO"
"Ramp2"	-0.216273602497575	8.2229773566289	-2.34812578107415	0.0291655714918512	0.269542581101138	-3.68613888734493	"NO"
"Zfp276"	-0.146592624623053	5.3322276944769	-2.3476648194546	0.0291937205601736	0.269542581101138	-3.65418004362382	"NO"
"Pde7b"	0.165336418020877	4.6880743278219	2.34764938477262	0.029194663528608	0.269542581101138	-3.57496217230878	"NO"
"Mafb"	0.270515492667814	3.38358996851398	2.34628487647172	0.0292781383830266	0.269925186555716	-3.43605714221075	"NO"
"Spg21"	0.114103037154254	6.02637423200657	2.34538746113785	0.0293331587209913	0.269925186555716	-3.70807774219386	"NO"
"Nfib"	0.114215910415911	7.84597230133736	2.34517856897137	0.0293459795643493	0.269925186555716	-3.70335643271205	"NO"
"Ddx50"	-0.0893324651640786	6.50305180139502	-2.34499312220565	0.0293573657781505	0.269925186555716	-3.71974474121949	"NO"
"Erlin2"	0.0882526316181256	6.0605237969728	2.34494703083889	0.0293601963677282	0.269925186555716	-3.71043547262196	"NO"
"Adck1"	0.13569089232524	3.84016273945996	2.34380797720481	0.0294302288135053	0.270340513999733	-3.47716453311371	"NO"
