""	"LU1"	"LU2"	"LU3"	"LU7"	"LU8"	"LU9"	"LU13"	"LU14"	"LU15"	"LU19"	"LU20"	"LU21"	"LU25"	"LU26"	"LU27"	"LU31"	"LU32"	"LU33"
"Ncor1"	191.6667872	140.6288894	177.1845683	166.590375	148.1392542	170.1134428	155.4443115	160.481566	177.2295196	193.9092874	203.5101574	175.9086877	189.399058	192.2185695	218.2019406	171.9818458	212.4509697	166.1491901
"Kif5b"	241.4761039	195.0792044	207.0001221	176.5408341	195.5023127	209.3543933	200.599803	205.1511556	210.947847	246.6497861	239.3319498	229.9243626	219.8530296	223.0822842	240.5131278	213.1717904	234.0005701	203.3825201
"Plpp1"	105.3187142	107.8800464	114.4451069	188.4843048	127.1613068	126.9951258	135.3011991	128.3277216	129.66564	120.6698433	124.5190642	129.5634713	93.72621246	109.7654914	106.2125415	141.206572	103.778173	113.9677182
"Dpep1"	90.4405925	117.5033322	133.0470643	145.6358264	118.8139908	90.26347996	106.9501162	117.1261083	116.3604596	134.6001244	102.365156	113.741023	128.7315436	122.9291952	122.9238141	127.8951213	126.6857692	132.249533
"Angptl4"	26.14741012	34.97929163	38.95243382	48.27848273	30.14463186	20.37469649	21.71887886	16.56290879	15.29295426	31.07611077	14.71716664	17.0516528	20.86002757	17.40954482	13.73975549	48.77169958	63.01462996	43.21140044
"Klf3"	145.338157	147.7947171	157.5240904	142.8906752	127.9105391	143.643235	125.3571309	140.0786058	163.0632187	200.0200995	198.0511043	189.5642454	150.936392	170.7750458	161.4997036	131.7125085	143.4322785	114.7234298
"Cd164"	336.6161412	320.9473584	323.6333981	338.2800667	315.8843476	283.5917285	334.6826259	308.1185507	295.7849679	284.4278958	300.6099156	315.6257839	299.6378339	305.1269903	295.4286162	309.561418	308.2729134	294.7215988
"Tspan13"	263.3832166	306.0849482	288.7509476	261.2914278	282.2334645	265.5300637	283.9663952	297.3232889	284.1883796	287.1397362	294.5996411	298.1433525	277.6556412	288.5200654	281.881251	265.8295612	260.3003938	304.7943923
"Phldb2"	234.2578918	212.0032448	226.7328482	219.6533548	230.457951	245.2418053	214.6234888	230.1517613	231.2046523	264.3162552	282.7714818	247.1158946	245.4747301	244.8893511	267.8756131	227.1315221	260.3808793	239.3256832
"Arhgef26"	107.1454885	82.44282872	109.7909771	72.4535856	90.95546366	94.71601731	121.7246043	134.2994527	123.3952186	134.1563815	127.5922339	145.0244618	105.7417226	104.8447618	119.0338792	101.6795044	118.2671428	99.66021095
